Absence                               _Wormwood._

Abuse not                             _Crocus._

Acknowledgment                        _Canterbury Bell._

Activity                              _Thyme._

Admiration                            _Amethyst._

Adoration                             _Dwarf Sunflower_

Adroitness                            _Spider Orchid._

Adulation                             _Cacalia._

Advice                                _Rhubarb._

Affection                             _Mossy Saxifrage._

Affection                             _Pear._

Affection                             _Sorrel._

Affection beyond the grave            _Green Locust._

Affection, maternal                   _Cinquefoil._

Affectation                           _Cockscomb Amaranth._

Affectation                           _Morning Glory._

Afterthought                          _Michaelmas Daisy._

Afterthought                          _Starwort._

Afterthought                          _China Aster._

Agreement                             _Straw._

Age                                   _Guelder Rose._

Agitation                             _Moving Plant._

Agitation                             _Sainfoin._

Alas! for my poor heart               _Deep Red Carnation._

Always cheerful                       _Coreopsis._

Always lovely                         _Indian Pink (double)._

Ambassador of love                    _Cabbage Rose._

Amiability                            _Jasmine._

Anger                                 _Whin._

Animosity                             _St. John's Wort._

Anticipation                          _Gooseberry._

Anxious and trembling                 _Red Columbine._

Ardour                                _Cuckoo Plant._

Argument                              _Fig._

Arts or artifice                      _Acanthus._

Assiduous to please                   _Sprig of Ivy with tendrils._

Assignation                           _Pimpernel._

Attachment                            _Indian Jasmine._

Audacity                              _Larch._

Avarice                               _Scarlet Auricula._

Aversion                              _China or Indian Pink._

Bantering                             _Southern-wood._

Baseness                              _Dodder of Thyme._

Bashfulness                           _Peony._

Bashful shame                         _Deep Red Rose._

Beautiful eyes                        _Variegated Tulip._

Beauty                                _Party-coloured Daisy._

Beauty always new                     _China Rose._

Beauty, capricious                    _Lady's Slipper._

Beauty, capricious                    _Musk Rose._

Beauty, delicate                      _Flower of an Hour._

Beauty, delicate                      _Hibiscus._

Beauty, divine                        _American Cowslip._

Beauty, glorious                      _Glory Flower._

Beauty, lasting                       _Stock._

Beauty, magnificent                   _Calla Æthiopica._

Beauty, mental                        _Clematis._

Beauty, modest                        _Trillium Pictum._

Beauty, neglected                     _Throatwort._

Beauty, pensive                       _Laburnum._

Beauty, rustic                        _French Honeysuckle._

Beauty, unconscious                   _Burgundy Rose._

Beauty is your only attraction        _Japan Rose._

Belle                                 _Orchis._

Be mine                               _Four-leaved Clover._

Beneficence                           _Marshmallow._

Benevolence                           _Potato._

Betrayed                              _White Catchfly._

Beware                                _Oleander._

Beware                                _Rosebay._

Blackness                             _Ebony Tree._

Bluntness                             _Borage._

Blushes                               _Marjoram._

Boaster                               _Hydrangea._

Boldness                              _Pink._

Bonds                                 _Convolvulus._

Bonds of Affection                    _Gillyflower._

Bravery                               _Oak Leaves._

Bravery and humanity                  _French Willow._

Bridal favour                         _Ivy Geranium._

Brilliant complexion                  _Damask Rose._

Bulk                                  _Water Melon. Gourd._

Busybody                              _Quamoclit._

Bury me amid Nature's beauties        _Persimon._

Call me not beautiful                 _Rose Unique._

Calm repose                           _Buckbean._

Calumny                               _Hellebore._

Calumny                               _Madder._

Change                                _Pimpernel._

Changeable disposition                _Rye Grass._

Charity                               _Turnip._

Charming                              _Cluster of Musk Roses._

Charms, deceitful                     _Thorn Apple._

Cheerfulness in old age               _American Starwort._

Cheerfulness under adversity          _Chinese Chrysanthemum._

Chivalry                              _Monkskood (Helmet Flower)._

Cleanliness                           _Hyssop._

Coldheartedness                       _Lettuce._

Coldness                              _Agnus Castus._

Colour of my life                     _Coral Honeysuckle._

Come down                             _Jacob's Ladder._

Comfort                               _Pear Tree._

Comforting                            _Scarlet Geranium._

Compassion                            _Allspice._

Concealed love                        _Motherwort._

Concert                               _Nettle Tree._

Concord                               _Lote Tree._

Confession of love                    _Moss Rosebud._

Confidence                            _Hepatica._

Confidence                            _Lilac Polyanthus._

Confidence                            _Liverwort._

Confidence in Heaven                  _Flowering Reed._

Conjugal love                         _Lime, or Linden Tree._

Consolation                           _Red Poppy._

Constancy                             _Bluebell._

Consumed by love                      _Syrian Mallow._

Counterfeit                           _Mock Orange._

Courage                               _Black Poplar._

Crime                                 _Tamarisk._

Cure                                  _Balm of Gilead._

Cure for heartache                    _Swallow-wort._

Curiosity                             _Sycamore._

Danger                                _Rhododendron. Rosebay._

Dangerous Pleasures                   _Tuberose._

Death                                 _Cypress._

Death preferable to loss of innocence _White Rate (dried)._

Deceit                                _Apocynum._

Deceit                                _Flytrap._

Deceit                                _Dogsbane._

Deceitful charms                      _Thorn Apple._

Deception                             _White Cherry Tree._

Declaration of love                   _Red Tulip._

Decrease of love                      _Yellow Rose._

Delay                                 _Eupatorium._

Delicacy                              _Bluebottle. Centaury._

Dejection                             _Lichen._

Desire to please                      _Mezercon._

Despair                               _Cypress._

Despondency                           _Humble Plant._

Devotion                              _Peruvian Heliotrope._

Difficulty                            _Blackthorn._

Dignity                               _Cloves._

Dignity                               _Laurel-leaved Magnolia._

Disappointment                        _Carolina Syringa._

Disdain                               _Yellow Carnation._

Disdain                               _Rue._

Disgust                               _Frog Ophrys._

Dissension                            _Pride of China._

Distinction                           _Cardinal Flower._

Distrust                              _Lavender._

Divine beauty                         _American Cowslip._

Docility                              _Rush._

Domestic industry                     _Flax._

Domestic virtue                       _Sage._

Durability                            _Dogwood._

Duration                              _Cornel Tree._

Early attachment                      _Thornless Rose_

Early friendship                      _Blue Periwinkle._

Early youth                           _Primrose._

Elegance                              _Locust Tree._

Elegance and grace                    _Yellow Jasmine._

Elevation                             _Scotch Fir._

Eloquence                             _Indian Lagerstræmia._

Enchantment                           _Holly Herb._

Enchantment                           _Vervain._

Energy in adversity                   _Chamomile._

Envy                                  _Bramble._

Error                                 _Bee Ophrys._

Error                                 _Fly Orchis._

Esteem                                _Garden Sage._

Esteem not love                       _Spiderwort._

Esteem and love                       _Strawberry Tree._

Estranged love                        _Lotus Flower._

Excellence                            _Camellia Japonica._

Expectation                           _Anemone._

Expectation                           _Zephyr Flower._

Expected meeting                      _Nutmeg Geranium._

Extent                                _Gourd._

Extinguished hopes                    _Major Convolvulus._

Facility                              _Germander Speedwell._

Fairies' fire                         _Pyrus Japonica._

Faithfulness                          _Blue Violet._

Faithfulness                          _Heliotrope._

Falsehood                             _Buglass._

Falsehood                             _Yellow Lily._

Falsehood                             _Manchineal Tree._

Fame                                  _Tulip. Trumpet Flower._

