Acacia                                _Friendship._

Acacia, Rose or White                 _Elegance._

Acacia, Yellow                        _Secret love._

Acanthus                              _The fine arts. Artifice._

Achillea Millefolia                   _War._
<Yarrow>
Aconite (Wolfsbane)                   _Misanthropy._
<Monkshood>
Aconite, Crowfoot                     _Lustre._

Adonis, Flos                          _Painful recollections._

Agnus Castus                          _Coldness. Indifference._

Agrimony                              _Thankfulness. Gratitude._

Almond (Common)                       _Stupidity. Indiscretion._

Almond (Flowering)                    _Hope._

Almond, Laurel                        _Perfidy._

Allspice                              _Compassion._

Aloe                                  _Grief. Religious superstition._

Althaea Frutex (Syrian Mallow)        _Persuasion._

Alyssum (Sweet)                       _Worth beyond beauty._

Amaranth (Globe)                      _Immortality. Unfading love._

Amaranth (Cockscomb)                  _Foppery. Affectation. Singularity._

Amaryllis                             _Pride. Timidity. Splendid beauty._

Ambrosia                              _Love returned._

American Elm                          _Patriotism._

American Linden                       _Matrimony._

American Starwort                     _Welcome to a stranger. Cheerfulness in old age._

Amethyst                              _Admiration._

Anemone (Zephyr Flower)               _Sickness. Expectation._

Anemone (Garden)                      _Forsaken._

Angelica                              _Inspiration._

Angrec                                _Royalty._

Apple                                 _Temptation._

Apple (Blossom)                       _Preference. Fame speaks him great and good._

Apple, Thorn                          _Deceitful charms._

Apocynum (Dog's Vane)                 _Deceit._

Arbor Vitae                            _Unchanging Friendship. Live for me._

Arum (Wake Robin)                     _Ardour._

Ash-leaved Trumpet Flower             _Separation._
<Trumpet Creeper>
Ash Tree                              _Grandeur._

Aspen Tree                            _Lamentation._

Asphodel                              _My regrets follow you to the grave._

Auricula                              _Painting._

Auricula, Scarlet                     _Avarice._

Azalea                                _Temperance._

Bachelor's Button                     _Celibacy._
<Cornflower>
Balm                                  _Sympathy._

Balm, Gentle                          _Pleasantry._

Balm of Gilead                        _Cure. Relief._

Balsam, Red                           _Touch me not. Impatient resolves._

Balsam, Yellow                        _Impatience._

Barberry                              _Sourness of temper._

Barberry Tree                         _Sharpness._

Basil                                 _Hatred._

Basil, Sweet                          _Good wishes._

Bay Leaf                              _I change but in death._

Bay Tree                              _Glory._

Bay Wreath                            _Reward of merit._

Bearded Crepis                        _Protection._

Beech Tree                            _Prosperity._

Bee Orchid                            _Industry. Error._

Belladonna                            _Silence._

Bell Flower, Pyramidal                _Constancy._
<Bellflower>
Bell Flower (small white)             _Gratitude._

Betony                                _Surprise._

Bilberry                              _Treachery. Treason._
<Whortleberry>
Bindweed, Great                       _Insinuation._

Bindweed, Small                       _Humility._

Birch                                 _Meekness._

Birdsfoot Trefoil                     _Revenge._

Blackthorn                            _Difficulty._

Bladder Nut Tree                      _Frivolity. Amusement._

Bluebottle (Centaury)                 _Delicacy._

Bluebell                              _Constancy._

Blue-flowered Greek Valerian          _Rupture._

Bonus Henricus                        _Goodness._

Borage                                _Bluntness._

Box Tree                              _Stoicism._

Bramble                               _Lowliness. Envy. Remorse._

Branch of Currants                    _You please all._

Branch of Thorns                      _Severity. Rigour._

Broom                                 _Humility. Neatness._

Buckbean                              _Calm repose._

Bud of White Rose                     _Heart ignorant of love._

Bugloss                               _Falsehood._

Bulrush                               _Indiscretion. Docility._

Bundle of Reeds, with their Panicles  _Music._

Burdock                               _Importunity. Touch me not._

Buttercup (Kingcup)                   _Ingratitude. Childishness._

Butterfly Orchid                      _Gaiety._

Butterfly Weed                        _Let me go._

Cabbage                               _Profit._

Cacalia                               _Adulation._

Cactus                                _Warmth._

Calla Aethiopica                       _Magnificent Beauty._

Calycanthui                           _Benevolence._

Camellia Japonica, Red                _Unpretending excellence._

Camellia Japonica, White              _Perfected loveliness._

Chamomile                              _Energy in adversity._

Canary Grass                          _Perseverance._

Candytuft                             _Indifference._

Canterbury Bell                       _Acknowledgement._

Cardamine                             _Paternal error._

Carnation, Deep Red                   _Alas! for my poor heart._

Carnation, Striped                    _Refusal._

Carnation, Yellow                     _Disdain._

Cardinal Flower                       _Dittitutim._

Catchfly                              _Snare._

Catchfly, Red                         _Youthful love._

Catchfly, White                       _Betrayed._

Cedar                                 _Strength._

Cedar of Lebanon                      _Incorruptible._

Cedar Leaf                            _I live for thee._

Celandine (Lesser)                    _Joys to come._

Cereus (Creeping)                     _Modest genius. Horror._

Centaury                              _Delicacy._

Champignon                            _Suspicion._

Chequered Fritillary                  _Persecution._

Cherry Tree                           _Good education._

Cherry Tree, White                    _Deception._

Chestnut Tree                          _Do me justice. Luxury._

Chickweed                             _Rendezvous._

Chicory                               _Frugality._

China Aster                           _Variety. Afterthought._
<Aster>
China Aster, Double                   _I partake your sentiments._

China Aster, Single                   _I will think of it._

Chinese Chrysanthemum                 _Cheerfulness under adversity._

Chrysanthemum, Red                    _I love._

Chrysanthemum, White                  _Truth._

Chrysanthemum, Yellow                 _Slighted love._

Cinquefoil                            _Maternal affection._

Cistus                                _Popular favour._
<Rock Rose>
Cistus, Gum                           _I shall die tomorrow._

Citron                                _Ill-natured beauty._

Clematis                              _Mental beauty._

Clematis, Evergreen                   _Poverty._

Clotbur                               _Rudeness. Pertinacity._
<Xanthium, Cocklebur>
Cloves                                _Dignity._

Clover, Four-leaved                   _Be mine._

Clover, Red                           _Industry._

Clover, White                         _Think of me._

Cobaea                                _Gossip._

Coltsfoot                             _Justice shall be done._

Columbine                             _Folly._

Columbine, Purple                     _Resolved to win._

Columbine, Red                        _Anxious and trembling._

Convolvulus                           _Bonds._

Convolvulus, Blue (Minor)             _Repose. Night._

Convolvulus, Major                    _Extinguished hopes._

Convolvulus, Pink                     _Worth sustained by judicious and tender affection._

Corchorus                             _Impatient of absence._

Coreopsis                             _Always cheerful._

Coreopsis Arkansa                     _Love at first sight._

Coriander                             _Hidden worth._

Corn                                  _Riches._

Corn, Broken                          _Quarrel._

Corn Straw                            _Agreement._

Corn Bottle                           _Delicacy._

Corn Cockle                           _Gentility._

Cornel Tree                           _Duration._

Coronella                             _Success crown your wishes._

Cowslip                               _Pensiveness. Winning grace._

Cowslip, American                     _Divine beauty. You are my divinity._

Cranberry                             _Cure for heartache._

Cress                                 _Stability. Power._
